temperature,pressure,vibration,humidity,equipment,location,faulty
58.1801800393178,25.029277651033,0.606516217224514,45.6949071040764,Turbine,Atlanta,0
75.74071220894,22.9540175954867,2.33809475375101,41.8674067926149,Compressor,Chicago,0
71.3585942408166,27.2768303189366,1.38919830490868,58.9544089094832,Turbine,San Francisco,0
71.6169852670475,32.2429213039348,1.77068968631762,40.565138211856,Pump,Atlanta,0
66.506832038818,45.1974707974359,0.345397989295576,43.2537947564331,Pump,New York,0
49.5109594501023,76.4267286801828,4.80929775275217,20.2696922477729,Compressor,New York,1
66.9035028601194,45.5307587001562,1.54834535144341,64.8049215266908,Compressor,Houston,0
148.923368732074,22.2141213675917,0.109818880713213,39.9449532946989,Turbine,San Francisco,1
50.4032987612022,45.3998989780971,2.2317178271305,43.0676666328305,Pump,Houston,0
63.8861475261137,33.8029124459857,1.1392796250849,41.7955153322792,Compressor,Atlanta,0
53.0704318580462,44.1052026477409,2.07165213716501,47.458741768099,Compressor,New York,0
141.260309844084,54.2390583944848,2.72569073317681,86.390465630607,Pump,Atlanta,1
68.491622884333,45.4386781065546,1.1950486465254,59.9896783531662,Compressor,Houston,0
84.7117032749361,44.0849646839318,1.35940299390129,47.5609705139916,Turbine,San Francisco,0
83.7365854516296,53.4475726877419,1.64300790381731,25.5250485765034,Turbine,New York,0
81.6637054566925,21.7548851186393,1.20241550046241,47.0067302670412,Compressor,Atlanta,0
67.4199146380239,31.1812411324493,1.46940212944605,40.9936025202188,Compressor,New York,0
57.9030525715889,30.3681262404808,1.65298001221892,48.8575608589787,Pump,Chicago,0
68.3720709392771,21.394982002789,1.22477406365539,47.3777186276617,Turbine,Atlanta,0
74.0705228712453,48.9038798809882,0.923369913662371,50.287286924713,Compressor,Atlanta,0
60.5744199420812,29.8788279592504,0.984001054317381,44.6271098910761,Turbine,Chicago,0
67.2887639895743,42.9088703479934,0.892078008587316,48.5032462598674,Pump,Atlanta,0
73.376026620752,24.2160337250627,0.865038456336226,59.741184682337,Compressor,Chicago,0
88.3389654602438,39.4967380966609,1.27305820057546,46.4524818037115,Pump,Houston,0
67.8195410460763,40.3701610936428,2.46061870854481,64.3145302078786,Turbine,Houston,0
117.255656781096,76.1746916165228,3.2557428385772,82.1430583176929,Pump,New York,1
54.8065392452316,36.815455550402,0.900819226500452,43.2318926445369,Pump,New York,0
58.0030247163469,22.7712696299257,1.7303944241307,46.0805209280573,Pump,San Francisco,0
